model,prompt_variant,id,family,plan_valid,plan_match,repaired,n_steps,oracle_n_steps,intents_predicted,intents_oracle,latency_ms
mamay4,current_v2,comp-tc-001,translate_code,True,True,False,2,2,translate>code,translate>code,7486.8
mamay4,current_v2,comp-tc-002,translate_code,True,True,False,2,2,translate>code,translate>code,8309.0
mamay4,current_v2,comp-tc-003,translate_code,True,True,False,2,2,translate>code,translate>code,9332.2
mamay4,current_v2,comp-tc-004,translate_code,True,True,False,2,2,translate>code,translate>code,7553.5
mamay4,current_v2,comp-tc-005,translate_code,True,True,False,2,2,translate>code,translate>code,8451.8
mamay4,current_v2,comp-tc-006,translate_code,True,True,False,2,2,translate>code,translate>code,7293.3
mamay4,current_v2,comp-tc-007,translate_code,True,True,False,2,2,translate>code,translate>code,7332.8
mamay4,current_v2,comp-tc-008,translate_code,True,True,False,2,2,translate>code,translate>code,8316.7
mamay4,current_v2,comp-tc-009,translate_code,True,True,False,2,2,translate>code,translate>code,7736.7
mamay4,current_v2,comp-tc-010,translate_code,True,True,False,2,2,translate>code,translate>code,7018.4
mamay4,current_v2,comp-tc-011,translate_code,True,True,False,2,2,translate>code,translate>code,7251.3
mamay4,current_v2,comp-tc-012,translate_code,True,True,False,2,2,translate>code,translate>code,9470.2
mamay4,current_v2,comp-ke-001,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,6006.6
mamay4,current_v2,comp-ke-002,knowledge_explain,True,False,False,3,2,knowledge>translate>instruct,knowledge>instruct,7067.1
mamay4,current_v2,comp-ke-003,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,6925.6
mamay4,current_v2,comp-ke-004,knowledge_explain,True,False,False,2,2,knowledge>translate,knowledge>instruct,5946.1
mamay4,current_v2,comp-ke-005,knowledge_explain,True,False,False,3,2,knowledge>translate>instruct,knowledge>instruct,8429.4
mamay4,current_v2,comp-ke-006,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,6212.8
mamay4,current_v2,comp-ke-007,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,5999.7
mamay4,current_v2,comp-ke-008,knowledge_explain,True,False,False,3,2,knowledge>translate>instruct,knowledge>instruct,8414.9
mamay4,current_v2,comp-ke-009,knowledge_explain,True,True,False,2,2,knowledge>instruct,knowledge>instruct,5818.0
mamay4,current_v2,comp-ke-010,knowledge_explain,True,False,False,2,2,knowledge>translate,knowledge>instruct,6590.7
